City_ID,City,Country,Lat,Lng,Max Temp (F),% Humidity,% Cloudiness,Wind Speed (mph),Current Description,Rain (inches),Snow (inches)
223,Hambantota,LK,6.12,81.12,80.6,94,75,6.93,broken clouds,0.0,0.0
224,Maceio,BR,-9.67,-35.74,73.4,94,75,8.05,moderate rain,0.0,0.0
225,Batagay-Alyta,RU,67.8,130.41,61.48,65,61,3.62,broken clouds,0.0,0.0
226,Mandurah,AU,-32.55,115.7,57.99,99,91,8.99,light rain,0.15,0.0
227,Sarangani,PH,5.4,125.46,77.61,87,100,13.91,moderate rain,1.3,0.0
228,Caravelas,BR,-17.71,-39.25,74.23,81,40,8.93,scattered clouds,0.0,0.0
229,Vrangel,RU,42.73,133.08,55.94,91,71,1.61,broken clouds,0.0,0.0
230,Marawi,PH,8.0,124.29,73.0,95,100,5.01,light rain,0.9,0.0
231,Hagere Hiywet,ET,8.98,37.85,59.65,83,93,3.11,light rain,0.67,0.0
232,San Patricio,MX,19.22,-104.7,91.4,75,20,28.86,haze,0.0,0.0
233,Morehead,US,37.27,-87.18,80.6,100,90,10.98,overcast clouds,0.0,0.0
234,Goderich,CA,43.75,-81.72,66.99,77,0,9.15,clear sky,0.0,0.0
235,Itarema,BR,-2.92,-39.92,80.53,77,1,14.18,clear sky,0.0,0.0
236,Saint George,US,37.1,-113.58,97.0,16,1,29.97,clear sky,0.0,0.0
237,Erzin,TR,36.96,36.2,75.99,90,0,2.17,clear sky,0.0,0.0
238,Bredy,RU,52.42,60.34,49.57,76,72,9.37,broken clouds,0.0,0.0
239,Lavrentiya,RU,65.58,-171.0,40.89,71,30,14.32,scattered clouds,0.0,0.0
240,San Angelo,US,31.46,-100.44,95.0,36,1,16.11,clear sky,0.0,0.0
241,Rapar,IN,23.57,70.63,87.8,69,82,16.17,broken clouds,0.0,0.0
242,Lulea,SE,65.58,22.15,60.8,55,9,2.24,clear sky,0.0,0.0
243,Lekoni,GA,-1.58,14.26,85.75,42,88,2.1,overcast clouds,0.0,0.0
244,Pizarro,CO,4.95,-77.37,80.17,80,91,5.17,light rain,0.29,0.0
245,Bagdarin,RU,54.43,113.6,56.3,90,100,3.15,light rain,0.64,0.0
246,Sao Joao Da Barra,BR,-21.64,-41.05,73.4,73,90,6.93,overcast clouds,0.0,0.0
247,Ukhta,RU,63.57,53.68,43.65,85,97,6.93,overcast clouds,0.0,0.0
248,Port Shepstone,ZA,-30.74,30.45,63.54,48,0,16.46,clear sky,0.0,0.0
249,Iskateley,RU,67.68,53.15,39.02,79,100,14.23,overcast clouds,0.0,0.0
250,Walvis Bay,NA,-22.96,14.51,59.0,67,0,4.7,clear sky,0.0,0.0
251,Makakilo City,US,21.35,-158.09,82.4,58,40,5.82,scattered clouds,0.0,0.0
252,Alta Floresta,BR,-9.88,-56.09,88.38,47,15,5.35,few clouds,0.0,0.0
253,Dicabisagan,PH,17.08,122.42,77.99,84,100,3.62,overcast clouds,0.0,0.0
254,Pochutla,MX,15.74,-96.47,93.2,52,75,9.17,broken clouds,0.0,0.0
255,Am Timan,TD,11.03,20.28,86.59,47,2,3.91,clear sky,0.0,0.0
256,Prince Rupert,CA,54.32,-130.32,55.4,87,90,6.93,overcast clouds,0.0,0.0
257,Victor Harbor,AU,-35.57,138.62,36.0,93,0,7.81,clear sky,0.0,0.0
258,Ishigaki,JP,24.34,124.16,83.86,84,100,21.05,overcast clouds,0.0,0.0
259,Qingdao,CN,36.1,120.37,73.4,78,20,6.71,light rain,0.0,0.0
260,Nikolskoye,RU,59.7,30.79,62.6,55,0,6.71,clear sky,0.0,0.0
261,Douentza,ML,15.0,-2.95,93.15,31,73,17.94,light rain,0.14,0.0
262,Georgetown,MY,5.41,100.34,82.4,83,40,3.36,scattered clouds,0.0,0.0
263,Maputo,MZ,-25.97,32.59,69.8,68,1,9.17,clear sky,0.0,0.0
264,Narkevychi,UA,49.52,26.64,66.43,89,80,7.11,broken clouds,0.0,0.0
265,Codrington,AU,-38.27,141.97,41.94,86,14,6.67,few clouds,0.0,0.0
266,Vaxjo,SE,56.88,14.81,64.4,82,100,6.93,light rain,0.88,0.0
267,San Cristobal,VE,7.77,-72.22,87.8,45,40,13.87,scattered clouds,0.0,0.0
268,Coihaique,CL,-45.58,-72.07,32.0,95,90,3.36,shower rain,0.0,0.0
269,Caldwell,US,43.66,-116.69,66.0,39,20,13.87,few clouds,0.0,0.0
270,Misratah,LY,32.38,15.09,76.78,63,0,12.97,clear sky,0.0,0.0
271,Nedryhayliv,UA,50.83,33.88,66.22,89,6,6.4,clear sky,0.0,0.0
272,Shimoda,JP,34.67,138.95,64.0,91,6,3.91,clear sky,0.0,0.0
273,Bethel,US,41.37,-73.41,80.6,61,75,8.05,thunderstorm,3.05,0.0
274,Sinnar,SD,13.57,33.57,89.94,41,51,12.08,broken clouds,0.0,0.0
275,Atuona,PF,-9.8,-139.03,80.24,76,3,13.96,clear sky,0.0,0.0
276,Santa Maria,BR,-29.68,-53.81,60.8,63,20,11.41,few clouds,0.0,0.0
277,Peniche,PT,39.36,-9.38,69.01,92,18,13.0,few clouds,0.0,0.0
278,Dingle,PH,11.0,122.67,76.08,86,100,1.12,overcast clouds,0.0,0.0
279,Genhe,CN,50.78,121.52,50.86,93,0,2.68,clear sky,0.0,0.0
280,Joensuu,FI,62.6,29.76,57.99,54,0,4.7,clear sky,0.0,0.0
281,Troitskoye,RU,52.98,84.68,55.17,70,100,6.76,overcast clouds,0.0,0.0
282,Jumla,NP,29.27,82.18,63.19,71,100,3.65,light rain,0.33,0.0
283,Howard Springs,AU,-12.5,131.05,71.6,88,67,3.36,broken clouds,0.0,0.0
284,Tongren,CN,27.72,109.19,76.78,89,100,1.43,light rain,0.22,0.0
285,Ilinskiy,RU,55.62,38.12,70.0,88,22,4.47,few clouds,0.0,0.0
286,Paducah,US,37.08,-88.6,91.4,55,20,13.87,few clouds,0.0,0.0
287,Guerrero Negro,MX,27.98,-114.06,76.42,53,12,14.07,few clouds,0.0,0.0
288,Mokhsogollokh,RU,61.47,128.92,66.61,59,93,3.33,overcast clouds,0.0,0.0
289,Mendoza,AR,-32.89,-68.83,37.4,47,40,4.7,mist,0.0,0.0
290,High Level,CA,58.52,-117.14,69.8,49,75,10.29,shower rain,0.0,0.0
291,Nevel,RU,56.02,29.93,63.3,87,8,3.94,light rain,0.14,0.0
292,Uray,RU,60.12,64.78,48.04,86,66,6.06,broken clouds,0.0,0.0
293,Port Hedland,AU,-20.32,118.57,59.0,67,0,6.93,clear sky,0.0,0.0
294,Komsomolskiy,UZ,40.43,71.72,66.2,39,0,9.17,clear sky,0.0,0.0
295,Espita,MX,21.02,-88.32,89.44,66,100,5.32,light rain,0.94,0.0
296,Kenai,US,60.55,-151.26,53.6,71,90,8.05,overcast clouds,0.0,0.0
